CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,5,5,520,-,"Ciências sociais, negócios e direito",Ciências contábeis
CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,CIÊNCIAS ECONÔMICAS,Bacharelado,Presencial,4,5,180,-,"Ciências sociais, negócios e direito",Economia
CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,3,150,24/11/1998,"Ciências sociais, negócios e direito",Publicidade e propaganda
CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,RELAÇÕES INTERNACIONAIS,Bacharelado,Presencial,4,3,150,29/10/2003,"Ciências sociais, negócios e direito",Relações internacionais
CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,RELAÇÕES PÚBLICAS,Bacharelado,Presencial,4,4,150,20/09/2004,"Ciências sociais, negócios e direito",Relações públicas
CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,SECRETARIADO EXECUTIVO,Bacharelado,Presencial,-,4,100,27/08/1999,"Ciências sociais, negócios e direito",Secretariado executivo
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ADMINISTRAÇÃO,Bacharelado,Presencial,5,2,100,24/08/2000,"Ciências sociais, negócios e direito",Administração
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,REDES DE COMPUTADORES,Tecnológico,Presencial,-,-,100,14/08/2006,"Ciências, matemática e computação",Administração de redes
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,3,-,100,31/05/2004,"Ciências, matemática e computação",Análise e Desenvolvimento de Sistemas (Tecnólogo)
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ARQUITETURA E URBANISMO,Bacharelado,Presencial,-,-,100,27/05/2011,"Engenharia, produção e construção",Arquitetura e urbanismo
